time,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2026-01-19 15:38:49.636110,5,0.00-1.00,406,3.32
2026-01-19 15:38:50.636110,5,1.00-2.00,420,3.44
2026-01-19 15:38:51.636074,5,2.00-3.00,522,4.27
2026-01-19 15:38:52.636073,5,3.00-4.00,592,4.85
2026-01-19 15:38:53.636092,5,4.00-5.00,947,7.76
2026-01-19 15:38:54.636084,5,5.00-6.00,1.00,8.42
2026-01-19 15:38:55.636108,5,6.00-7.00,488,4.00
2026-01-19 15:38:56.636088,5,7.00-8.00,508,4.16
2026-01-19 15:38:57.636095,5,8.00-9.00,502,4.11
2026-01-19 15:38:58.636088,5,9.00-10.00,642,5.26
2026-01-19 15:38:59.636074,5,10.00-11.00,964,7.90
2026-01-19 15:39:00.636083,5,11.00-12.00,624,5.11
2026-01-19 15:39:01.636098,5,12.00-13.00,238,1.95
2026-01-19 15:39:02.636074,5,13.00-14.00,369,3.02
2026-01-19 15:39:03.636077,5,14.00-15.00,351,2.87
2026-01-19 15:39:04.636240,5,15.00-16.00,481,3.94
2026-01-19 15:39:05.636261,5,16.00-17.00,587,4.81
2026-01-19 15:39:06.636195,5,17.00-18.00,192,1.58
2026-01-19 15:39:07.636217,5,18.00-19.00,0.00,0.00
2026-01-19 15:39:08.636074,5,19.00-20.00,413,3.38
2026-01-19 15:39:09.636094,5,20.00-21.00,428,3.51
2026-01-19 15:39:10.636055,5,21.00-22.00,262,2.14
2026-01-19 15:39:11.637036,5,22.00-23.00,0.00,0.00
2026-01-19 15:39:12.636074,5,23.00-24.00,277,2.27
2026-01-19 15:39:13.636107,5,24.00-25.00,354,2.90
2026-01-19 15:39:14.636093,5,25.00-26.00,434,3.56
2026-01-19 15:39:15.636081,5,26.00-27.00,335,2.75
2026-01-19 15:39:16.636075,5,27.00-28.00,691,5.66
2026-01-19 15:39:17.636110,5,28.00-29.00,488,4.00
2026-01-19 15:39:18.636055,5,29.00-30.00,963,7.89
2026-01-19 15:39:19.636247,5,30.00-31.00,682,5.58
2026-01-19 15:39:20.637046,5,31.00-32.00,0.00,0.00
2026-01-19 15:39:21.637029,5,32.00-33.00,0.00,0.00
2026-01-19 15:39:22.637047,5,33.00-34.00,0.00,0.00
2026-01-19 15:39:23.637026,5,34.00-35.00,0.00,0.00
2026-01-19 15:39:24.637056,5,35.00-36.00,0.00,0.00
2026-01-19 15:39:25.637028,5,36.00-37.00,0.00,0.00
2026-01-19 15:39:26.637046,5,37.00-38.00,0.00,0.00
2026-01-19 15:39:27.637034,5,38.00-39.00,0.00,0.00
2026-01-19 15:39:28.637031,5,39.00-40.00,0.00,0.00
2026-01-19 15:39:29.637037,5,40.00-41.00,0.00,0.00
2026-01-19 15:39:30.636072,5,41.00-42.00,279,2.28
2026-01-19 15:39:31.636073,5,42.00-43.00,1.06,8.85
2026-01-19 15:39:32.636073,5,43.00-44.00,725,5.94
2026-01-19 15:39:33.636075,5,44.00-45.00,669,5.48
2026-01-19 15:39:34.636096,5,45.00-46.00,527,4.32
2026-01-19 15:39:35.636074,5,46.00-47.00,615,5.04
2026-01-19 15:39:36.636074,5,47.00-48.00,860,7.04
2026-01-19 15:39:37.636090,5,48.00-49.00,638,5.22
2026-01-19 15:39:38.636075,5,49.00-50.00,656,5.37
2026-01-19 15:39:39.636074,5,50.00-51.00,283,2.32
2026-01-19 15:39:40.636111,5,51.00-52.00,519,4.25
2026-01-19 15:39:41.636073,5,52.00-53.00,812,6.65
2026-01-19 15:39:42.636075,5,53.00-54.00,693,5.68
2026-01-19 15:39:43.636088,5,54.00-55.00,469,3.85
2026-01-19 15:39:44.636072,5,55.00-56.00,773,6.34
2026-01-19 15:39:45.636073,5,56.00-57.00,1.00,8.42
2026-01-19 15:39:46.636096,5,57.00-58.00,1.07,9.1
2026-01-19 15:39:47.636430,5,58.00-59.00,747,6.11
2026-01-19 15:39:48.636072,5,59.00-60.00,1.08,9.06
2026-01-19 15:39:49.636070,5,60.00-61.00,1.11,9.31
2026-01-19 15:39:50.636082,5,61.00-62.00,1.20,10.1
2026-01-19 15:39:51.636077,5,62.00-63.00,1.24,10.4
2026-01-19 15:39:52.636073,5,63.00-64.00,1.60,13.4
2026-01-19 15:39:53.636187,5,64.00-65.00,1.54,12.9
2026-01-19 15:39:54.636072,5,65.00-66.00,1.43,12.0
2026-01-19 15:39:55.636091,5,66.00-67.00,1.23,10.3
2026-01-19 15:39:56.636078,5,67.00-68.00,1.69,14.2
2026-01-19 15:39:57.636073,5,68.00-69.00,707,5.79
2026-01-19 15:39:58.636091,5,69.00-70.00,1.70,14.2
2026-01-19 15:39:59.636071,5,70.00-71.00,1.42,11.9
2026-01-19 15:40:00.636103,5,71.00-72.00,1.22,10.2
2026-01-19 15:40:01.636072,5,72.00-73.00,1.76,14.7
2026-01-19 15:40:02.636071,5,73.00-74.00,1.29,10.9
2026-01-19 15:40:03.636092,5,74.00-75.00,1.40,11.8
2026-01-19 15:40:04.636071,5,75.00-76.00,1.46,12.3
2026-01-19 15:40:05.636073,5,76.00-77.00,1.06,8.91
2026-01-19 15:40:06.636091,5,77.00-78.00,1.70,14.3
2026-01-19 15:40:07.636072,5,78.00-79.00,1.10,9.20
2026-01-19 15:40:08.636073,5,79.00-80.00,1.68,14.1
2026-01-19 15:40:09.636073,5,80.00-81.00,1.68,14.1
2026-01-19 15:40:10.636043,5,81.00-82.00,1.75,14.7
2026-01-19 15:40:11.636073,5,82.00-83.00,1.61,13.5
2026-01-19 15:40:12.636070,5,83.00-84.00,2.11,17.7
2026-01-19 15:40:13.636076,5,84.00-85.00,2.47,20.7
2026-01-19 15:40:14.636036,5,85.00-86.00,2.52,21.2
2026-01-19 15:40:15.636081,5,86.00-87.00,1.82,15.2
2026-01-19 15:40:16.636070,5,87.00-88.00,1.76,14.7
2026-01-19 15:40:17.636094,5,88.00-89.00,2.09,17.5
2026-01-19 15:40:18.636079,5,89.00-90.00,1.65,13.8
2026-01-19 15:40:19.636072,5,90.00-91.00,1.65,13.8
2026-01-19 15:40:20.636077,5,91.00-92.00,1.91,16.0
2026-01-19 15:40:21.636087,5,92.00-93.00,2.06,17.3
2026-01-19 15:40:22.636074,5,93.00-94.00,2.24,18.8
2026-01-19 15:40:23.636073,5,94.00-95.00,2.12,17.8
2026-01-19 15:40:24.636073,5,95.00-96.00,2.16,18.1
2026-01-19 15:40:25.636075,5,96.00-97.00,2.23,18.7
2026-01-19 15:40:26.636075,5,97.00-98.00,2.15,18.1
2026-01-19 15:40:27.636096,5,98.00-99.00,2.37,19.9
2026-01-19 15:40:28.636082,5,99.00-100.00,2.40,20.1
2026-01-19 15:40:29.636085,5,100.00-11.00,2.42,20.3
2026-01-19 15:40:30.636075,5,11.00-102.00,2.40,20.1
2026-01-19 15:40:31.636072,5,102.00-103.00,2.43,20.4
2026-01-19 15:40:32.636072,5,103.00-104.00,2.51,21.0
2026-01-19 15:40:33.636093,5,104.00-105.00,2.50,21.0
2026-01-19 15:40:34.636084,5,105.00-106.00,2.45,20.6
2026-01-19 15:40:35.636092,5,106.00-107.00,2.55,21.4
2026-01-19 15:40:36.636077,5,107.00-108.00,2.46,20.6
2026-01-19 15:40:37.636078,5,108.00-109.00,2.54,21.3
2026-01-19 15:40:38.636075,5,109.00-110.00,2.46,20.7
2026-01-19 15:40:39.636081,5,110.00-111.00,2.27,19.1
2026-01-19 15:40:40.636091,5,111.00-112.00,2.55,21.4
2026-01-19 15:40:41.636080,5,112.00-113.00,2.58,21.7
2026-01-19 15:40:42.636072,5,113.00-114.00,2.58,21.6
2026-01-19 15:40:43.636070,5,114.00-115.00,2.49,20.9
2026-01-19 15:40:44.636083,5,115.00-116.00,2.32,19.4
2026-01-19 15:40:45.636072,5,116.00-117.00,2.41,20.2
2026-01-19 15:40:46.636074,5,117.00-118.00,2.42,20.3
2026-01-19 15:40:47.636071,5,118.00-119.00,2.47,20.7
2026-01-19 15:40:48.636073,5,119.00-120.00,2.29,19.2
2026-01-19 15:40:49.636082,5,120.00-121.00,2.46,20.6
2026-01-19 15:40:50.636074,5,121.00-122.00,2.57,21.6
2026-01-19 15:40:51.636111,5,122.00-123.00,2.59,21.7
2026-01-19 15:40:52.636116,5,123.00-124.00,2.58,21.7
2026-01-19 15:40:53.636074,5,124.00-125.00,2.47,20.7
2026-01-19 15:40:54.636073,5,125.00-126.00,2.28,19.1
2026-01-19 15:40:55.636073,5,126.00-127.00,2.58,21.7
2026-01-19 15:40:56.636117,5,127.00-128.00,2.45,20.6
2026-01-19 15:40:57.636078,5,128.00-129.00,2.49,20.9
2026-01-19 15:40:58.636497,5,129.00-130.00,2.53,21.2
2026-01-19 15:40:59.636080,5,130.00-131.00,2.36,19.8
2026-01-19 15:41:00.636107,5,131.00-132.00,2.36,19.8
2026-01-19 15:41:01.636037,5,132.00-133.00,2.15,18.0
2026-01-19 15:41:02.636099,5,133.00-134.00,2.45,20.6
2026-01-19 15:41:03.636114,5,134.00-135.00,2.00,16.7
2026-01-19 15:41:04.636415,5,135.00-136.00,2.41,20.2
2026-01-19 15:41:05.636072,5,136.00-137.00,2.27,19.1
2026-01-19 15:41:06.636072,5,137.00-138.00,2.42,20.3
2026-01-19 15:41:07.636074,5,138.00-139.00,2.22,18.6
2026-01-19 15:41:08.636079,5,139.00-140.00,2.30,19.3
2026-01-19 15:41:09.636073,5,140.00-141.00,2.44,20.5
2026-01-19 15:41:10.636075,5,141.00-142.00,2.04,17.1
2026-01-19 15:41:11.636082,5,142.00-143.00,2.08,17.5
2026-01-19 15:41:12.636076,5,143.00-144.00,2.20,18.5
2026-01-19 15:41:13.636091,5,144.00-145.00,2.34,19.6
2026-01-19 15:41:14.636071,5,145.00-146.00,2.49,20.9
2026-01-19 15:41:15.636073,5,146.00-147.00,2.52,21.1
2026-01-19 15:41:16.636095,5,147.00-148.00,2.44,20.5
2026-01-19 15:41:17.636098,5,148.00-149.00,2.37,19.9
2026-01-19 15:41:18.636102,5,149.00-150.00,2.28,19.2
2026-01-19 15:41:19.636099,5,150.00-151.00,2.38,19.9
2026-01-19 15:41:20.636086,5,151.00-152.00,2.41,20.2
2026-01-19 15:41:21.636095,5,152.00-153.00,2.39,20.0
2026-01-19 15:41:22.636071,5,153.00-154.00,2.34,19.6
2026-01-19 15:41:23.636073,5,154.00-155.00,2.33,19.6
2026-01-19 15:41:24.636097,5,155.00-156.00,2.49,20.9
2026-01-19 15:41:25.636092,5,156.00-157.00,2.38,19.9
2026-01-19 15:41:26.636075,5,157.00-158.00,2.33,19.5
2026-01-19 15:41:27.636074,5,158.00-159.00,2.18,18.3
2026-01-19 15:41:28.636083,5,159.00-160.00,2.42,20.3
2026-01-19 15:41:29.636092,5,160.00-161.00,2.43,20.4
2026-01-19 15:41:30.636073,5,161.00-162.00,2.14,18.0
2026-01-19 15:41:31.636262,5,162.00-163.00,1.80,15.1
2026-01-19 15:41:32.636082,5,163.00-164.00,2.56,21.5
2026-01-19 15:41:33.636072,5,164.00-165.00,2.37,19.9
2026-01-19 15:41:34.636071,5,165.00-166.00,2.38,19.9
2026-01-19 15:41:35.636071,5,166.00-167.00,2.35,19.7
2026-01-19 15:41:36.636149,5,167.00-168.00,2.39,20.1
2026-01-19 15:41:37.636075,5,168.00-169.00,1.52,12.8
2026-01-19 15:41:38.636115,5,169.00-170.00,2.16,18.1
2026-01-19 15:41:39.636127,5,170.00-171.00,1.94,16.3
2026-01-19 15:41:40.636071,5,171.00-172.00,2.42,20.3
2026-01-19 15:41:41.636071,5,172.00-173.00,2.46,20.6
2026-01-19 15:41:42.636036,5,173.00-174.00,2.29,19.2
2026-01-19 15:41:43.636080,5,174.00-175.00,1.99,16.7
2026-01-19 15:41:44.636073,5,175.00-176.00,2.42,20.3
2026-01-19 15:41:45.636104,5,176.00-177.00,2.42,20.3
2026-01-19 15:41:46.636086,5,177.00-178.00,2.42,20.3
2026-01-19 15:41:47.636072,5,178.00-179.00,2.42,20.3
2026-01-19 15:41:48.636071,5,179.00-180.00,2.38,19.9
2026-01-19 15:41:49.636076,5,180.00-181.00,1.83,15.4
2026-01-19 15:41:50.636086,5,181.00-182.00,2.41,20.2
2026-01-19 15:41:51.636060,5,182.00-183.00,2.43,20.4
2026-01-19 15:41:52.636038,5,183.00-184.00,1.96,16.5
2026-01-19 15:41:53.636046,5,184.00-185.00,2.41,20.2
2026-01-19 15:41:54.636074,5,185.00-186.00,2.31,19.4
2026-01-19 15:41:55.636092,5,186.00-187.00,1.67,14.0
2026-01-19 15:41:56.636074,5,187.00-188.00,2.41,20.2
2026-01-19 15:41:57.636072,5,188.00-189.00,2.34,19.6
2026-01-19 15:41:58.636076,5,189.00-190.00,1.96,16.4
2026-01-19 15:41:59.636103,5,190.00-191.00,2.39,20.1
2026-01-19 15:42:00.636107,5,191.00-192.00,2.40,20.1
2026-01-19 15:42:01.636093,5,192.00-193.00,2.34,19.6
2026-01-19 15:42:02.636036,5,193.00-194.00,1.86,15.6
2026-01-19 15:42:03.636082,5,194.00-195.00,2.35,19.7
2026-01-19 15:42:04.636026,5,195.00-196.00,2.42,20.3
2026-01-19 15:42:05.636046,5,196.00-197.00,2.40,20.1
2026-01-19 15:42:06.636075,5,197.00-198.00,1.34,11.2
2026-01-19 15:42:07.636032,5,198.00-199.00,1.62,13.6
2026-01-19 15:42:08.636081,5,199.00-200.00,2.33,19.5
2026-01-19 15:42:09.636090,5,200.00-21.00,2.41,20.2
2026-01-19 15:42:10.636102,5,21.00-202.00,2.42,20.3
2026-01-19 15:42:11.636072,5,202.00-203.00,2.38,20.0
2026-01-19 15:42:12.636074,5,203.00-204.00,1.62,13.6
2026-01-19 15:42:13.636072,5,204.00-205.00,1.02,8.57
2026-01-19 15:42:14.636074,5,205.00-206.00,1.84,15.5
2026-01-19 15:42:15.636075,5,206.00-207.00,1.82,15.2
2026-01-19 15:42:16.636099,5,207.00-208.00,1.88,15.8
2026-01-19 15:42:17.636074,5,208.00-209.00,1.77,14.9
2026-01-19 15:42:18.636072,5,209.00-210.00,2.28,19.1
2026-01-19 15:42:19.636075,5,210.00-211.00,2.32,19.5
2026-01-19 15:42:20.636073,5,211.00-212.00,2.36,19.8
2026-01-19 15:42:21.636078,5,212.00-213.00,2.39,20.1
2026-01-19 15:42:22.636073,5,213.00-214.00,2.42,20.3
2026-01-19 15:42:23.636120,5,214.00-215.00,2.36,19.8
2026-01-19 15:42:24.636072,5,215.00-216.00,1.70,14.3
2026-01-19 15:42:25.636071,5,216.00-217.00,1.02,8.54
2026-01-19 15:42:26.636092,5,217.00-218.00,928,7.60
2026-01-19 15:42:27.636110,5,218.00-219.00,704,5.77
2026-01-19 15:42:28.636073,5,219.00-220.00,703,5.76
2026-01-19 15:42:29.636045,5,220.00-221.00,622,5.10
2026-01-19 15:42:30.636076,5,221.00-222.00,913,7.48
2026-01-19 15:42:31.636073,5,222.00-223.00,1.64,13.8
2026-01-19 15:42:32.636095,5,223.00-224.00,2.08,17.5
2026-01-19 15:42:33.636080,5,224.00-225.00,2.26,18.9
2026-01-19 15:42:34.636073,5,225.00-226.00,2.07,17.4
2026-01-19 15:42:35.636072,5,226.00-227.00,1.53,12.8
2026-01-19 15:42:36.636081,5,227.00-228.00,625,5.12
2026-01-19 15:42:37.636073,5,228.00-229.00,1.57,13.1
2026-01-19 15:42:38.636592,5,229.00-230.00,503,4.12
2026-01-19 15:42:39.636197,5,230.00-231.00,82.0,672
2026-01-19 15:42:40.636153,5,231.00-232.00,321,2.63
2026-01-19 15:42:41.636123,5,232.00-233.00,236,1.93
2026-01-19 15:42:42.636110,5,233.00-234.00,256,2.10
2026-01-19 15:42:43.636194,5,234.00-235.00,164,1.34
2026-01-19 15:42:44.636141,5,235.00-236.00,41.0,336
2026-01-19 15:42:45.636397,5,236.00-237.00,105,857
2026-01-19 15:42:46.636041,5,237.00-238.00,127,1.04
2026-01-19 15:42:47.636085,5,238.00-239.00,110,904
2026-01-19 15:42:48.636300,5,239.00-240.00,204,1.67
2026-01-19 15:42:49.636076,5,240.00-241.00,495,4.06
2026-01-19 15:42:50.636075,5,241.00-242.00,71,5.75
2026-01-19 15:42:51.636086,5,242.00-243.00,755,6.19
2026-01-19 15:42:52.636075,5,243.00-244.00,542,4.44
2026-01-19 15:42:53.636072,5,244.00-245.00,298,2.44
2026-01-19 15:42:54.636076,5,245.00-246.00,232,1.90
2026-01-19 15:42:55.636073,5,246.00-247.00,539,4.41
2026-01-19 15:42:56.636076,5,247.00-248.00,438,3.59
2026-01-19 15:42:57.636070,5,248.00-249.00,321,2.63
2026-01-19 15:42:58.636073,5,249.00-250.00,395,3.23
2026-01-19 15:42:59.636075,5,250.00-251.00,221,1.81
2026-01-19 15:43:00.636196,5,251.00-252.00,124,1.02
2026-01-19 15:43:01.637027,5,252.00-253.00,0.00,0.00
2026-01-19 15:43:02.636130,5,253.00-254.00,0.00,0.00
2026-01-19 15:43:03.636073,5,254.00-255.00,451,3.70
2026-01-19 15:43:04.636090,5,255.00-256.00,450,3.68
2026-01-19 15:43:05.636076,5,256.00-257.00,431,3.53
2026-01-19 15:43:06.636110,5,257.00-258.00,230,1.89
2026-01-19 15:43:07.636136,5,258.00-259.00,222,1.82
2026-01-19 15:43:08.636122,5,259.00-260.00,342,2.80
2026-01-19 15:43:09.636518,5,260.00-261.00,116,950
2026-01-19 15:43:10.636071,5,261.00-262.00,410,3.36
2026-01-19 15:43:11.636080,5,262.00-263.00,421,3.45
2026-01-19 15:43:12.636088,5,263.00-264.00,455,3.73
2026-01-19 15:43:13.636074,5,264.00-265.00,486,3.98
2026-01-19 15:43:14.636075,5,265.00-266.00,532,4.36
2026-01-19 15:43:15.636077,5,266.00-267.00,519,4.25
2026-01-19 15:43:16.636110,5,267.00-268.00,525,4.30
2026-01-19 15:43:17.636817,5,268.00-269.00,116,949
2026-01-19 15:43:18.636048,5,269.00-270.00,619,5.08
2026-01-19 15:43:19.636078,5,270.00-271.00,532,4.36
